company,old,title,link,salary,netgross,city
UAB „Nordcode technology“,prieš 1 d.,BUSINESS ANALYST (WEB SYSTEMS),https://www.cvbankas.lt/business-analyst-web-systems-vilniuje/1-3722869,3000-4500,Neatskaičius mokesčių,Vilniuje
UAB „WAAVO“,prieš 5 d.,Senior PHP programuotojas,https://www.cvbankas.lt/senior-php-programuotojas-vilniuje/1-4469451,2000-5000,Į rankas,Vilniuje
FREDA LEZ,prieš 6 d.,IT projektų vadovas (-ė) (LEZ),https://www.cvbankas.lt/it-projektu-vadovas-e-lez-kaune/1-9075585,2500-3500,Neatskaičius mokesčių,Kaune
UAB „Furniture1“,prieš 8 d.,Junior - Mid FULL STACK developer,https://www.cvbankas.lt/junior-mid-full-stack-developer-vilniuje/1-9064643,1300-2000,Į rankas,Vilniuje
UAB „Softemia LT“,prieš 14 d.,MAINTENANCE ENGINEER,https://www.cvbankas.lt/maintenance-engineer-vilniuje/1-9042513,1500-2200,Į rankas,Vilniuje
Telia,prieš 19 d.,IT Delivery Manager,https://www.cvbankas.lt/it-delivery-manager-vilniuje/1-9022933,,,Vilniuje
UAB „Ovoko“,prieš 1 val.,DevOps Engineer,https://www.cvbankas.lt/devops-engineer-vilniuje/1-9100417,3500-6000,Neatskaičius mokesčių,Vilniuje
SEB,prieš 3 val.,"Business developer in Savings & Investment tribe in Funds, Deposits and Trading Agile team",https://www.cvbankas.lt/business-developer-in-savings-investment-tribe-in-funds-deposits-and-trading-agile-team-vilniuje/1-9100091,2200-4200,Neatskaičius mokesčių,Vilniuje
SEB,prieš 3 val.,Product Owner for Risk and AML Analytical Solutions Delivery Team,https://www.cvbankas.lt/product-owner-for-risk-and-aml-analytical-solutions-delivery-team-vilniuje/1-9100037,3400-5200,Neatskaičius mokesčių,Vilniuje
IBM,prieš 4 val.,Paid Intenship - DevOps Engineer,https://www.cvbankas.lt/paid-intenship-devops-engineer-vilniuje/1-9099895,735,Neatskaičius mokesčių,Vilniuje
UAB „Nanoavionics“,prieš 4 val.,Software Support Engineer,https://www.cvbankas.lt/software-support-engineer-vilniuje/1-9099901,Nuo 1600,Neatskaičius mokesčių,Vilniuje
AB „Lytagra“,prieš 4 val.,IT ADMINISTRATORIUS (-Ė),https://www.cvbankas.lt/it-administratorius-e-kaune/1-8768232,Nuo 1500,Į rankas,Kaune
UAB „Gurtam“,prieš 4 val.,Support Engineer,https://www.cvbankas.lt/support-engineer-vilniuje/1-9099699,Nuo 1500,Neatskaičius mokesčių,Vilniuje
UAB „Nanoavionics“,prieš 4 val.,Satellite Operations Engineer,https://www.cvbankas.lt/satellite-operations-engineer-darbas-namuose/1-8311659,2100-2500,Neatskaičius mokesčių,Darbas namuose
UAB „Rivilė“,prieš 5 val.,IT KONSULTANTAS (-Ė) IŠ BET KUR LIETUVOJE,https://www.cvbankas.lt/it-konsultantas-e-is-bet-kur-lietuvoje-vilniuje/1-9099497,1400-2000,Į rankas,Vilniuje
UAB „Elektroninio verslo sistemos“,prieš 6 val.,Duomenų administravimo vadybininkas (elektroninė prekyba),https://www.cvbankas.lt/duomenu-administravimo-vadybininkas-elektronine-prekyba-vilniuje/1-7944245,800-1200,Neatskaičius mokesčių,Vilniuje
Ignitis grupė,prieš 6 val.,DUOMENŲ TINKLŲ VEIKLOS INŽINIERIUS (-Ė),https://www.cvbankas.lt/duomenu-tinklu-veiklos-inzinierius-e-vilniuje/1-9099437,1509-2542,Neatskaičius mokesčių,Vilniuje
UAB „VM robotika”,prieš 6 val.,Odoo verslo valdymo sistemos konsultantas (-ė),https://www.cvbankas.lt/odoo-verslo-valdymo-sistemos-konsultantas-e-darbas-namuose/1-9099285,1500-3000,Neatskaičius mokesčių,Darbas namuose
UAB „Manpower Lit“,prieš 7 val.,IT Support Engineer,https://www.cvbankas.lt/it-support-engineer-vilniuje/1-8363503,1700-2000,Neatskaičius mokesčių,Vilniuje
AB „Audimas“,prieš 7 val.,NAV programuotojas (-a),https://www.cvbankas.lt/nav-programuotojas-a-kaune/1-9099085,1928-2280,Neatskaičius mokesčių,Kaune
UAB „Viltechmeda“,prieš 7 val.,SOFTWARE ENGINEERING TEAM LEAD,https://www.cvbankas.lt/software-engineering-team-lead-vilniuje/1-8076811,Nuo 4000,Neatskaičius mokesčių,Vilniuje
UAB „Viltechmeda“,prieš 7 val.,JUNIOR SOFTWARE ENGINEER,https://www.cvbankas.lt/junior-software-engineer-vilniuje/1-8568840,Nuo 1800,Neatskaičius mokesčių,Vilniuje
UAB „Viltechmeda“,prieš 7 val.,SOFTWARE QA ENGINEER (MANUAL),https://www.cvbankas.lt/software-qa-engineer-manual-vilniuje/1-8754124,Nuo 1600,Neatskaičius mokesčių,Vilniuje
UAB „Viltechmeda“,prieš 7 val.,SOFTWARE QA ENGINEER (AUTOMATION),https://www.cvbankas.lt/software-qa-engineer-automation-vilniuje/1-8753974,Nuo 2500,Neatskaičius mokesčių,Vilniuje
Ignitis grupė,prieš 8 val.,DATA HUB IT ANALITIKAS (-Ė) (REMOTE),https://www.cvbankas.lt/data-hub-it-analitikas-e-remote-vilniuje/1-9099027,1675-2896,Neatskaičius mokesčių,Vilniuje
UAB „FESTO“,prieš 8 val.,Communication Network Administrator,https://www.cvbankas.lt/communication-network-administrator-kaune/1-9098971,Nuo 1700,Neatskaičius mokesčių,Kaune
Ignitis grupė,prieš 8 val.,DATA HUB VYR. IT ANALITIKAS (-Ė) (REMOTE),https://www.cvbankas.lt/data-hub-vyr-it-analitikas-e-remote-vilniuje/1-9098953,2065-3569,Neatskaičius mokesčių,Vilniuje
UAB „STOKKER“,prieš 8 val.,IT SPECIALISTAS,https://www.cvbankas.lt/it-specialistas-kaune/1-8908168,Nuo 1575,Neatskaičius mokesčių,Kaune
UAB „Melsoft LT“,prieš 9 val.,Mobile QA Engineer,https://www.cvbankas.lt/mobile-qa-engineer-vilniuje/1-8972140,2200-4300,Neatskaičius mokesčių,Vilniuje
"Registrų Centras, VĮ",prieš 9 val.,IS VYSTYMO IR PRIEŽIŪROS VYR. SPECIALISTAS (-Ė),https://www.cvbankas.lt/is-vystymo-ir-prieziuros-vyr-specialistas-e-vilniuje/1-8976510,1458-2188,Neatskaičius mokesčių,Vilniuje
UAB „Ipra LT“,prieš 10 val.,IT support,https://www.cvbankas.lt/it-support-kaune/1-9098529,Nuo 1000,Į rankas,Kaune
SEB,prieš 10 val.,Oracle Developer at SEB Life & Pension (copy),https://www.cvbankas.lt/oracle-developer-at-seb-life-pension-copy-vilniuje/1-9098595,3100-4100,Neatskaičius mokesčių,Vilniuje
UAB „Ovoko“,prieš 10 val.,Lead PHP Developer,https://www.cvbankas.lt/lead-php-developer-vilniuje/1-7669675,5000-6500,Neatskaičius mokesčių,Vilniuje
UAB „Ovoko“,prieš 10 val.,Senior PHP Developer,https://www.cvbankas.lt/senior-php-developer-vilniuje/1-8686304,4500-6000,Neatskaičius mokesčių,Vilniuje
UAB „SME Finance“,prieš 10 val.,Head of Cards,https://www.cvbankas.lt/head-of-cards-vilniuje/1-8977202,Nuo 3000,Į rankas,Vilniuje
UAB „SME Finance“,prieš 10 val.,Senior - Regular Software Engineer,https://www.cvbankas.lt/senior-regular-software-engineer-vilniuje/1-8290165,3000-7000,Neatskaičius mokesčių,Vilniuje
UAB „EIS Group Lietuva“,prieš 10 val.,Middle/Senior Test Automation Engineer (Product & Technology),https://www.cvbankas.lt/middle-senior-test-automation-engineer-product-technology-vilniuje/1-9098419,2800-5500,Neatskaičius mokesčių,Vilniuje
ATEA grupė,prieš 11 val.,PHP programuotojas (-a),https://www.cvbankas.lt/php-programuotojas-a-vilniuje/1-8956596,1400-1900,Į rankas,Vilniuje
Nord Security,prieš 11 val.,Junior/Mid QA engineer,https://www.cvbankas.lt/junior-mid-qa-engineer-vilniuje/1-9093841,1400-3000,Neatskaičius mokesčių,Vilniuje
UAB „EIS Group Lietuva“,prieš 12 val.,Middle - Senior Frontend Developer,https://www.cvbankas.lt/middle-senior-frontend-developer-vilniuje/1-8956096,2800-5500,Neatskaičius mokesčių,Vilniuje
Lietuvos centrinė kredito unija,prieš 13 val.,Programuotojas (-a),https://www.cvbankas.lt/programuotojas-a-kaune/1-8407459,1225-2455,Neatskaičius mokesčių,Kaune
Lietuvos centrinė kredito unija,prieš 13 val.,ORACLE DB programuotojas (-a),https://www.cvbankas.lt/oracle-db-programuotojas-a-kaune/1-8837392,1800-2700,Neatskaičius mokesčių,Kaune
